date,steps,distance,runDistance,calories
2025-11-01,9757,7043,4291,275
2025-11-02,9123,6545,4166,274
2025-11-03,7366,5656,3055,263
2025-11-04,7233,5485,3369,248
2025-11-05,8399,6355,3856,270
2025-11-06,7669,5570,3472,226
2025-11-07,7038,5261,2946,252
2025-11-08,7291,5162,3084,210
2025-11-09,7030,5164,2899,212
2025-11-10,7715,5740,3330,247
2025-11-11,7492,5259,2627,218
2025-11-12,11360,8222,4833,332
2025-11-13,9317,7284,4524,312
2025-11-14,11081,8360,5220,356
2025-11-15,9531,7671,4916,346
2025-11-16,7689,5395,2846,236
2025-11-17,8058,6047,3811,266
2025-11-18,10279,7751,4717,329
2025-11-19,7793,5510,3022,237
2025-11-20,7021,5334,3061,286
2025-11-21,9401,7158,4431,341
2025-11-22,13319,10021,6260,479
2025-11-23,9385,6776,4088,274
2025-11-24,7028,5270,3315,231
2025-11-25,7725,5753,3104,268
2025-11-26,7606,5442,3013,216
2025-11-27,8658,6315,3801,279
2025-11-28,7016,4931,2968,199
2025-11-29,6695,4709,2580,203
2025-11-30,9556,6874,3879,278
